location,source,target
entrance/entrance|2|0|8,※メールアドレスに送信されるコードを入力してください,※メールアドレスに送信されるコードを入力してください
entrance/entrance|4|1|0,简体中文,简体中文
entrance/error_info|0|0|2|0,確認,確認
entrance/ios_webview_update|0|1,新しいバージョンの更新があります。公式サイトでダウンロードしてください,新しいバージョンの更新があります。公式サイトでダウンロードしてください
entrance/mail_regist|0|0|1,登録,登録
entrance/mail_regist|0|0|2|0,SNSアカウントで登録,SNSアカウントで登録
entrance/mail_regist|0|0|9|3,雀魂ソフトウェア利用許諾契約,雀魂ソフトウェア利用許諾契約
entrance/mail_regist|0|0|10|5,、,、
entrance/mail_regist|0|0|11|0,認証コード送信,認証コード送信
entrance/mail_regist|1|1|1,サーバー接続中,サーバー接続中
entrance/maintenance|0|0|2|0,閉じる,閉じる
entrance/remind|0,健康游戏公告,健康游戏公告
entrance/remind|0|0,抵制不良游戏，拒绝盗版游戏,抵制不良游戏，拒绝盗版游戏
entrance/remind|0|1,注意自我保护，谨防上当受骗,注意自我保护，谨防上当受骗
entrance/remind|0|2,适度游戏益脑，沉迷游戏伤身,适度游戏益脑，沉迷游戏伤身
entrance/remind|0|3,合理安排时间，享受健康生活,合理安排时间，享受健康生活
entrance/remind|1,区区 立直棒 就送给你了,区区 立直棒 就送给你了
entrance/remind|2,——--,——--
entrance/remind|3,满贯,满贯
entrance/remind|4,跳满,跳满
entrance/remind|5,倍满,倍满
entrance/remind|6,役满,役满
entrance/remind|7,2/10,2/10
entrance/reset_password|0|0|1|0|0,送信,送信
entrance/reset_password|0|0|2|0|0,確認,確認
entrance/reset_password_phone2|0|2|0,確認,確認
entrance/reset_password_phone2|0|10|0,認証コード送信,認証コード送信
entrance/secondconfirm_entrance|0|3|0,はい,はい
entrance/secondconfirm_entrance|0|4|0,いいえ,いいえ
hesu/hesu|1|2,温泉合宿,温泉合宿
hesu/hesu|5|0|5|0|1|3,),)
hesu/hesu|5|0|5|0|1|7|2,入手済,入手済
hesu/hesu|6|0|3|0|1|1,単価：,単価：
hesu/hesu|6|0|3|0|1|3|1,交換,交換
hesu/hesu|6|0|3|0|1|6|0,交換可能回数,交換可能回数
hesu/hesu|7|0|2|4|3,奉納,奉納
hesu/hesu|7|0|2|5|0,奉納,奉納
hesu/hesu|7|0|2|5|3,レベルアップ,レベルアップ
hesu/hesu|7|0|2|6|0,祈祷レベルは最大です,祈祷レベルは最大です
hesu/hesu|7|0|3|4|3,奉納,奉納
hesu/hesu|7|0|3|5|0,奉納,奉納
hesu/hesu|7|0|3|5|3,レベルアップ,レベルアップ
hesu/hesu|7|0|3|6|0,祈祷レベルは最大です,祈祷レベルは最大です
hesu/hesu|7|0|4|4|3,奉納,奉納
hesu/hesu|7|0|4|5|0,奉納,奉納
hesu/hesu|7|0|4|5|3,レベルアップ,レベルアップ
hesu/hesu|7|0|4|6|0,祈祷レベルは最大です,祈祷レベルは最大です
hesu/hesu_rules|1|0|3|0|2,入手可能,入手可能
hesu/hesu_rules|1|0|3|1|2,清算あり,清算あり
hesu/hesu_rules|1|0|3|2|2,"段位制限なし\n段位PT清算なし","段位制限なし\n段位PT清算なし"
hesu/hesu_rules|2|0|1|1,次のページ,次のページ
hesu/hesu_rules|2|0|2|0,わかりました,わかりました
hesu/hesu_rules|2|1|1,前のページ,前のページ
hesu/hesu_rules|2|2|0|1,スキップ,スキップ
hesu/hesu_rules|2|2|1|1,戻る,戻る
huiye/huiye|6|1|2,カードと麻雀を融合した斬新なルール、ぜひ体験してみてにゃ！,カードと麻雀を融合した斬新なルール、ぜひ体験してみてにゃ！
huiye/huiye|6|1|3,対局開始時に親・機会・運命のカードを1枚ずつ抽選するにゃ。カードに書かれたルールに従って対局を行うにゃ！,対局開始時に親・機会・運命のカードを1枚ずつ抽選するにゃ。カードに書かれたルールに従って対局を行うにゃ！
huiye/huiye_rules|2|0|1|1,次のページ,次のページ
huiye/huiye_rules|2|0|2|0,わかりました,わかりました
huiye/huiye_rules|2|1|1,前のページ,前のページ
huiye/huiye_rules|2|2|0|1,スキップ,スキップ
huiye/huiye_rules|2|2|1|1,戻る,戻る
kuangdu/kuangdu|5|1|5|0|1|3,),)
kuangdu/kuangdu|5|1|5|0|1|11|2,未開放,未開放
kuangdu/kuangdu_rules|1|0|3|0|2,入手可能,入手可能
kuangdu/kuangdu_rules|1|0|3|1|2,清算あり,清算あり
kuangdu/kuangdu_rules|1|0|3|2|2,"段位制限なし\n段位PT清算なし","段位制限なし\n段位PT清算なし"
kuangdu/kuangdu_rules|2|0|1|1,次のページ,次のページ
kuangdu/kuangdu_rules|2|0|2|0,わかりました,わかりました
kuangdu/kuangdu_rules|2|1|1,前のページ,前のページ
kuangdu/kuangdu_rules|2|2|0|1,スキップ,スキップ
kuangdu/kuangdu_rules|2|2|1|1,戻る,戻る
lobby/ab_match|1|3|0|1,限定報酬,限定報酬
lobby/ab_match|1|3|1|0,進行中の対戦：,進行中の対戦：
lobby/ab_match|1|3|1|4|0,消費：,消費：
lobby/ab_match|1|3|1|5|1,本回戦入場可能数：,本回戦入場可能数：
lobby/ab_match|1|3|1|6,各回戦初戦入場無料,各回戦初戦入場無料
lobby/ab_match|1|4|0,進行中の対戦：,進行中の対戦：
lobby/ab_match|1|4|1,終了期限：,終了期限：
lobby/ab_match|1|4|6,残り対局数,残り対局数
lobby/ab_match|2|2|3,報酬内容,報酬内容
lobby/ab_match_en|1|3|0|1,限定報酬,限定報酬
lobby/ab_match_en|1|3|2|0,進行中の対戦：,進行中の対戦：
lobby/ab_match_en|1|3|2|4|0,消費：,消費：
lobby/ab_match_en|1|3|2|5|1,本回戦入場可能数：,本回戦入場可能数：
lobby/ab_match_en|1|3|2|6,各回戦初戦入場無料,各回戦初戦入場無料
lobby/ab_match_en|1|4|0,進行中の対戦：,進行中の対戦：
lobby/ab_match_en|1|4|1,終了期限：,終了期限：
lobby/ab_match_en|1|4|6,残り対局数,残り対局数
lobby/ab_match_en|2|2|3,報酬内容,報酬内容
lobby/ab_match_reward|0|2,「龍闘虎争」報酬詳細,「龍闘虎争」報酬詳細
lobby/ab_match_reward|0|3,報酬は各回戦の4対局がすべて終了後に受取できます。,報酬は各回戦の4対局がすべて終了後に受取できます。
lobby/ab_match_reward|0|5|4|0,PT,PT
lobby/ab_match_reward|0|5|4|1,報酬,報酬
lobby/ab_match_score|1|2,「龍闘虎争」PT詳細,「龍闘虎争」PT詳細
lobby/ab_match_score|1|3,銀の間以上の段位戦で順位によってPTを獲得することができます。,銀の間以上の段位戦で順位によってPTを獲得することができます。
lobby/ab_match_score|1|4|0|0|1,PT,PT
lobby/ab_match_score|1|4|0|1|1,順位,順位
lobby/ab_match_score|1|4|0|1|2,1,1
lobby/ab_match_score|1|4|0|1|3,2,2
lobby/ab_match_score|1|4|0|1|4,3,3
lobby/ab_match_score|1|4|0|1|5,4,4
lobby/ab_match_score|1|4|0|3|0,四人麻雀,四人麻雀
lobby/ab_match_score|1|4|1|0|1,PT,PT
lobby/ab_match_score|1|4|1|1|1,順位,順位
lobby/ab_match_score|1|4|1|1|2,1,1
lobby/ab_match_score|1|4|1|1|3,2,2
lobby/ab_match_score|1|4|1|1|4,3,3
lobby/ab_match_score|1|4|1|1|5,/,/
lobby/ab_match_score|1|4|1|3|0,三人麻雀,三人麻雀
lobby/achievement|0|2,実績,実績
lobby/achievement|1|0,実績詳細,実績詳細
lobby/achievement|2|1,実績達成：,実績達成：
lobby/achievement|2|3,合計：,合計：
lobby/achievement|4|1|0|2,進捗状況,進捗状況
lobby/achievement|4|1|0|4,以下すべての実績を取得後報酬入手可能,以下すべての実績を取得後報酬入手可能
lobby/achievement|4|1|0|5|0,受け取る,受け取る
lobby/achievement|4|1|0|7,入手済,入手済
lobby/achievement|4|1|1|1|0|1|2|2,受け取る,受け取る
lobby/achievement|4|1|1|1|0|1|9,入手済,入手済
lobby/activity|0|3|1|1|0|0,受け取る,受け取る
lobby/activity|0|3|1|2|0|0,削除,削除
lobby/activity|0|3|2|0,まだ何もありません。,まだ何もありません。
lobby/activity|0|3|2|1,まだ何もありません。,まだ何もありません。
lobby/activity|0|4|2,開催中のイベントがありません,開催中のイベントがありません
lobby/activitys/activitybase|0|0|1|1|3,コイン,コイン
lobby/activitys/activitybase|0|0|1|1|4,復活コイン,復活コイン
lobby/activitys/activitybase|0|0|1|1|9,入手済,入手済
lobby/activitys/activity_dongri|1|5|1,―現在累計和了点数―,―現在累計和了点数―
lobby/activitys/activity_duanwu_rank|0|0|4,入手済,入手済
lobby/activitys/activity_duanwu_rank|0|4,现在还没有人上榜哦！冲鸭！,现在还没有人上榜哦！冲鸭！
lobby/activitys/activity_exchange|0|0|1|1|5|0|0,交換,交換
lobby/activitys/activity_exchange|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_exchange_zhongxia|0|0|1|1|5|0|0,交換,交換
lobby/activitys/activity_exchange_zhongxia|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_exchange_zhongxia|0|0|1|1|9|0|0,交換,交換
lobby/activitys/activity_exchange_zhongxia|0|0|1|1|9|0|1,x10,x10
lobby/activitys/activity_guoqing|0|0|12|0|1|1,/,/
lobby/activitys/activity_jiuji|0|0,復活コイン,復活コイン
lobby/activitys/activity_jiuji|0|1|1|3,コイン,コイン
lobby/activitys/activity_jiuji|0|1|1|4,復活コイン,復活コイン
lobby/activitys/activity_jiuji|0|1|1|6,枚,枚
lobby/activitys/activity_jiuji|0|1|1|10,入手済,入手済
lobby/activitys/activity_rpg_reward|2|2|1|1|0|2|5|1,受取済,受取済
lobby/activitys/activity_rpg_reward|2|2|1|1|1|2|5|1,受取済,受取済
lobby/activitys/activity_rpg_task|2|3|1|2,未完成,未完成
lobby/activitys/activity_rpg_task|2|3|2|2,完成済,完成済
lobby/activitys/activity_rpg_task|2|4|0,なにもない,なにもない
lobby/activitys/activity_rpg_task|2|7|0|1|3|1,受け取る,受け取る
lobby/activitys/activity_rpg_task|2|7|0|1|4|0,入手済,入手済
lobby/activitys/activity_shuiyi_task|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_sns_task|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_task|0|0|1|1|3,コイン,コイン
lobby/activitys/activity_task|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_task_newyear|0|0|1|1|3,对局中每次达成特定番型都可获得红灯笼,对局中每次达成特定番型都可获得红灯笼
lobby/activitys/activity_task_newyear|0|0|1|1|4,收集,收集
lobby/activitys/activity_task_newyear|0|0|1|1|4|0,红灯笼,红灯笼
lobby/activitys/activity_task_newyear|0|0|1|1|6|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_newyear|0|0|1|1|6|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_newyear|0|0|1|1|7|0,红灯笼×2,红灯笼×2
lobby/activitys/activity_task_newyear|0|0|1|1|7|2,七对子,七对子
lobby/activitys/activity_task_newyear|0|0|1|1|8|0,红灯笼×4,红灯笼×4
lobby/activitys/activity_task_newyear|0|0|1|1|8|2,两立直、二杯口,两立直、二杯口
lobby/activitys/activity_task_newyear|0|0|1|1|9|0,红灯笼×8,红灯笼×8
lobby/activitys/activity_task_newyear|0|0|1|1|9|2,天和、地和、四暗刻、四暗刻单骑、\\n国士无双、国士无双十三面、\\n九莲宝灯、纯正九莲宝灯,天和、地和、四暗刻、四暗刻单骑、\\n国士无双、国士无双十三面、\\n九莲宝灯、纯正九莲宝灯
lobby/activitys/activity_task_zhongxia|0|0|1|1|3,风铃,风铃
lobby/activitys/activity_task_zhongxia|0|0|1|1|4,对局中每次达成特定番型都可获得红灯笼,对局中每次达成特定番型都可获得红灯笼
lobby/activitys/activity_task_zhongxia|0|0|1|1|5,今日获得,今日获得
lobby/activitys/activity_task_zhongxia|0|0|1|1|6,15,15
lobby/activitys/activity_task_zhongxia|0|0|1|1|7,/30,/30
lobby/activitys/activity_task_zhongxia|0|0|1|1|9|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|1|1|9|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|1|1|10|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|1|1|10|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|1|1|11|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|1|1|11|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|1|1|12|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|1|1|12|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|1|1|14,风铃,风铃
lobby/activitys/activity_task_zhongxia|0|0|2|1|3,风铃,风铃
lobby/activitys/activity_task_zhongxia|0|0|2|1|4,对局中每次达成特定番型都可获得红灯笼,对局中每次达成特定番型都可获得红灯笼
lobby/activitys/activity_task_zhongxia|0|0|2|1|5,今日获得,今日获得
lobby/activitys/activity_task_zhongxia|0|0|2|1|6,15,15
lobby/activitys/activity_task_zhongxia|0|0|2|1|7,/30,/30
lobby/activitys/activity_task_zhongxia|0|0|2|1|9|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|2|1|9|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|2|1|10|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|2|1|10|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|2|1|11|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|2|1|11|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|2|1|12|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|2|1|12|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|2|1|14,风铃,风铃
lobby/activitys/activity_task_zhongxia|0|0|3|1|3,风铃,风铃
lobby/activitys/activity_task_zhongxia|0|0|3|1|4,对局中每次达成特定番型都可获得红灯笼,对局中每次达成特定番型都可获得红灯笼
lobby/activitys/activity_task_zhongxia|0|0|3|1|5,今日获得,今日获得
lobby/activitys/activity_task_zhongxia|0|0|3|1|6,15,15
lobby/activitys/activity_task_zhongxia|0|0|3|1|7,/30,/30
lobby/activitys/activity_task_zhongxia|0|0|3|1|9|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|3|1|9|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|3|1|10|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|3|1|10|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|3|1|11|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|3|1|11|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|3|1|12|0,红灯笼×1,红灯笼×1
lobby/activitys/activity_task_zhongxia|0|0|3|1|12|2,立直、门前清自摸和、平和、一杯口,立直、门前清自摸和、平和、一杯口
lobby/activitys/activity_task_zhongxia|0|0|3|1|14,风铃,风铃
lobby/activitys/activity_tongbi_exchange|0|0|1|1|5|0|0,交換,交換
lobby/activitys/activity_tongbi_exchange|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_wuyi_exchange|0|0|1|1|5|0|0,交換,交換
lobby/activitys/activity_wuyi_exchange|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_wuyi_exchange|0|0|1|1|9|0|0,交換,交換
lobby/activitys/activity_wuyi_exchange|0|0|1|1|9|0|1,x10,x10
lobby/activitys/activity_wuyi_task|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_xiari_exchange|0|0|1|1|6|0|0,交換,交換
lobby/activitys/activity_xiari_exchange|0|0|1|1|8,入手済,入手済
lobby/activitys/activity_xuanshang|0|0,一日一個更新されます,一日一個更新されます
lobby/activitys/activity_yijidagong|0|5,コイン入手量,コイン入手量
lobby/activitys/activity_yijidagong|0|14|0|1,+,+
lobby/activitys/guoqing_popout|0|4|1,受け取る,受け取る
lobby/activitys/guoqing_popout|0|5|1,確認,確認
lobby/activitys/sign|3|2|0,999999,999999
lobby/activitys/sign|3|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|3|3,第一天,第一天
lobby/activitys/sign|4|2|0,999999,999999
lobby/activitys/sign|4|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|4|3,第二天,第二天
lobby/activitys/sign|5|2|0,999999,999999
lobby/activitys/sign|5|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|5|3,第三天,第三天
lobby/activitys/sign|6|2|0,999999,999999
lobby/activitys/sign|6|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|6|3,第四天,第四天
lobby/activitys/sign|7|2|0,999999,999999
lobby/activitys/sign|7|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|7|3,第五天,第五天
lobby/activitys/sign|8|2|0,999999,999999
lobby/activitys/sign|8|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|8|3,第六天,第六天
lobby/activitys/sign|9|2|0,999999,999999
lobby/activitys/sign|9|2|1,超级巧克力,超级巧克力
lobby/activitys/sign|9|3,第七天,第七天
lobby/activitys/sign|10,每日祈福,每日祈福
lobby/activity_jjc|1|3|0|2,12勝報酬,12勝報酬
lobby/activity_jjc|1|3|1|0,最高勝利数,最高勝利数
lobby/activity_jjc|1|3|1|3,累計勝利数,累計勝利数
lobby/activity_jjc|1|3|1|5|0,消費：,消費：
lobby/activity_jjc|1|3|1|6|2,入場券所持数：,入場券所持数：
lobby/activity_jjc|1|3|1|7,イベント期間：12月20日(月) 10:59まで,イベント期間：12月20日(月) 10:59まで
lobby/activity_jjc|1|3|2,段位条件に満たしていないため、参加できません,段位条件に満たしていないため、参加できません
lobby/activity_jjc|1|4|0,現在入手できる報酬：,現在入手できる報酬：
lobby/activity_jjc|1|4|1,イベント期間：12月20日(月) 10:59まで,イベント期間：12月20日(月) 10:59まで
lobby/activity_jjc|1|4|2|2|1|0,あと,あと
lobby/activity_jjc|1|4|2|2|1|1,回勝利で報酬レベルアップ！,回勝利で報酬レベルアップ！
lobby/activity_jjc|1|4|9,本回戦勝利数：,本回戦勝利数：
lobby/activity_jjc|1|4|10|0,失敗可能数：,失敗可能数：
lobby/activity_jjc_en|1|3|0|2,12勝報酬,12勝報酬
lobby/activity_jjc_en|1|3|1|0,最高勝利数,最高勝利数
lobby/activity_jjc_en|1|3|1|3,累計勝利数,累計勝利数
lobby/activity_jjc_en|1|3|1|5|0,消費：,消費：
lobby/activity_jjc_en|1|3|1|6|2,入場券所持数：,入場券所持数：
lobby/activity_jjc_en|1|3|1|7,イベント期間：12月20日(月) 10:59まで,イベント期間：12月20日(月) 10:59まで
lobby/activity_jjc_en|1|3|2,段位条件に満たしていないため、参加できません,段位条件に満たしていないため、参加できません
lobby/activity_jjc_en|1|4|0,現在入手できる報酬：,現在入手できる報酬：
lobby/activity_jjc_en|1|4|1,イベント期間：12月20日(月) 10:59まで,イベント期間：12月20日(月) 10:59まで
lobby/activity_jjc_en|1|4|2|2|1|1,回勝利で報酬レベルアップ！,回勝利で報酬レベルアップ！
lobby/activity_jjc_en|1|4|9,本回戦勝利数：,本回戦勝利数：
lobby/activity_jjc_en|1|4|10|0,失敗可能数：,失敗可能数：
lobby/activity_jjc_reward|0|2,「龍闘虎争」報酬詳細,「龍闘虎争」報酬詳細
lobby/activity_jjc_reward|0|3,報酬は挑戦終了後に受取できます。,報酬は挑戦終了後に受取できます。
lobby/activity_jjc_reward|0|4|5|0,勝利数,勝利数
lobby/activity_jjc_reward|0|4|5|1,報酬,報酬
lobby/activity_rpg|1|2|2|1,ATK:,ATK:
lobby/activity_rpg|1|2|2|2,HP:,HP:
lobby/activity_rpg|1|3|0|2,ステータス,ステータス
lobby/activity_rpg|1|3|0|4|6,MAX,MAX
lobby/activity_rpg|1|3|0|5|6,MAX,MAX
lobby/activity_rpg|1|3|0|6|6,MAX,MAX
lobby/activity_rpg|1|3|0|7|6,MAX,MAX
lobby/activity_rpg|1|3|1|1,詳細内容,詳細内容
lobby/activity_rpg|1|4|2,ステージ,ステージ
lobby/activity_vote|1|3|0|1,得票状況,得票状況
lobby/activity_vote|1|3|1|1,投票箱,投票箱
lobby/activity_vote|1|4|1|0|0|6|1,投票,投票
lobby/activity_vote|1|5|1|7,第一位,第一位
lobby/activity_vote|1|5|2|7,第二位,第二位
lobby/activity_vote|1|5|3|7,第三位,第三位
lobby/activity_vote|1|6|0|1,投票券入手,投票券入手
lobby/activity_vote|1|6|1|0|0|3|2,受取,受取
lobby/activity_vote|1|6|1|0|0|4|1,未完成,未完成
lobby/activity_vote|1|6|1|0|0|5,受取済,受取済
lobby/activity_vote|1|6|2|1,所持 :,所持 :
lobby/activity_vote|1|6|2|2,枚,枚
lobby/add_room|0|2,ルーム参加,ルーム参加
lobby/add_room|0|3|0,確認,確認
lobby/add_room|0|6|0|1,1,1
lobby/add_room|0|6|1|1,2,2
lobby/add_room|0|6|2|1,3,3
lobby/add_room|0|6|3|1,4,4
lobby/add_room|0|6|4|1,5,5
lobby/add_room|0|6|5|1,6,6
lobby/add_room|0|6|6|1,7,7
lobby/add_room|0|6|7|1,8,8
lobby/add_room|0|6|8|1,9,9
lobby/add_room|0|6|9|1,C,C
lobby/add_room|0|6|10|1,0,0
lobby/ageconfirm|0|0|2,年齢認証,年齢認証
lobby/ageconfirm|0|0|4,毎月の購入上限は,毎月の購入上限は
lobby/ageconfirm|0|0|5,円になります,円になります
lobby/ageconfirm|0|0|6,20000,20000
lobby/ageconfirm|0|0|7|0,確認,確認
lobby/agepending|0|0|0|2,年齢認証,年齢認証
lobby/agepending|0|0|0|3,あなたの年齢によって一ヶ月に購入できる金額がきまっています。,あなたの年齢によって一ヶ月に購入できる金額がきまっています。
lobby/agepending|0|0|0|4,必ず正しい生年月を入力してください。,必ず正しい生年月を入力してください。
lobby/agepending|0|0|0|5,(*あとから生年月の変更はできません。),(*あとから生年月の変更はできません。)
lobby/agepending|0|0|0|6,毎月の購入上限額,毎月の購入上限額
lobby/agepending|0|0|0|7,16才未満:,16才未満:
lobby/agepending|0|0|0|8,16才以上20才未満:,16才以上20才未満:
lobby/agepending|0|0|0|9,20才以上:,20才以上:
lobby/agepending|0|0|0|10,20000円,20000円
lobby/agepending|0|0|0|11,5000円,5000円
lobby/agepending|0|0|0|12,生年月,生年月
lobby/agepending|0|0|0|13,年,年
lobby/agepending|0|0|0|14,月,月
lobby/agepending|0|0|0|15,無制限,無制限
lobby/agepending|0|0|1|0,年,年
lobby/agepending|0|0|2|0,月,月
lobby/agepending|0|0|3|0,確認,確認
lobby/agepending|0|0|5,请选择月份,请选择月份
lobby/agepending|0|0|6,请选择年份,请选择年份
lobby/agepending|0|1|1|2|0|0|1,2001,2001
lobby/agepending|0|1|2|2|0|0|1,2001,2001
lobby/agepending_chs|0|0|0|2,年龄认证,年龄认证
lobby/agepending_chs|0|0|0|3,根据《关于防止未成年人沉迷网络游戏的通知》需要登记您的出生年月。\\n请如实填写您的出生年月，提交后无法更改。,根据《关于防止未成年人沉迷网络游戏的通知》需要登记您的出生年月。\\n请如实填写您的出生年月，提交后无法更改。
lobby/agepending_chs|0|0|0|4,未成年人用户每日22时到次日8时无法进行游戏，工作日游戏时间不能超过1.5小时，法定节假日每日不能超过3小时。 \\n8岁以下用户不能使用充值服务。\\n8至16岁用户单次充值金额不能超过50元人民币，每月充值金额累计不能超过200元人民币。\\n16至18岁用户单次充值金额不能超过100元人民币，每月充值金额累计不能超过400元人民币。,未成年人用户每日22时到次日8时无法进行游戏，工作日游戏时间不能超过1.5小时，法定节假日每日不能超过3小时。 \\n8岁以下用户不能使用充值服务。\\n8至16岁用户单次充值金额不能超过50元人民币，每月充值金额累计不能超过200元人民币。\\n16至18岁用户单次充值金额不能超过100元人民币，每月充值金额累计不能超过400元人民币。
lobby/agepending_chs|0|0|0|5,生年月,生年月
lobby/agepending_chs|0|0|0|6,年,年
lobby/agepending_chs|0|0|0|7,月,月
lobby/agepending_chs|0|0|1|0,年,年
lobby/agepending_chs|0|0|2|0,月,月
lobby/agepending_chs|0|0|3|0,确认,确认
lobby/agepending_chs|0|0|4,请选择月份,请选择月份
lobby/agepending_chs|0|0|5,请选择年份,请选择年份
lobby/agepending_chs|0|1|1|2|0|0|1,2001,2001
lobby/agepending_chs|0|1|2|2|0|0|1,2001,2001
lobby/agesuccess|0|0|2,年齢認証,年齢認証
lobby/agesuccess|0|0|3,認証完了しました。,認証完了しました。
lobby/agesuccess|0|0|4|0,確認,確認
lobby/agesuccess_chs|0|3|0,确定,确定
lobby/agexiane|0|0|2,年齢認証,年齢認証
lobby/agexiane|0|0|3,20000,20000
lobby/agexiane|0|0|4,円,円
lobby/agexiane|0|0|5,毎月の購入上限額:,毎月の購入上限額:
lobby/agexiane|0|0|6,20000,20000
lobby/agexiane|0|0|7,円,円
lobby/agexiane|0|0|8,今月の合計購入額:,今月の合計購入額:
lobby/agexiane|0|0|9|0,確認,確認
lobby/bag|0|0|0|1,着せ替え,着せ替え
lobby/bag|0|0|1|1,装飾品,装飾品
lobby/bag|0|0|2|1,贈り物,贈り物
lobby/bag|0|0|3|1,アイテム,アイテム
lobby/bag|0|1|3|0,奉納,奉納
lobby/bag|0|1|6|0|0,選択クリア,選択クリア
lobby/bag|0|1|6|1|0,戻る,戻る
lobby/bag|0|1|6|2|0,奉納,奉納
lobby/bag|0|1|6|3,奉納する贈り物を選択してください,奉納する贈り物を選択してください
lobby/bag|0|1|7,不要な贈り物を奉納すると星のかけらを獲得,不要な贈り物を奉納すると星のかけらを獲得
lobby/bag|0|1|8,まだ何もありません。,まだ何もありません。
lobby/bag|0|2|3,まだ何もありません。,まだ何もありません。
lobby/bag|0|3|0|0|0|0|3|2|0,契約を結ぶ,契約を結ぶ
lobby/bag|0|3|2|0,全商品,全商品
lobby/bag|0|3|3,使用可能な装飾品がありません,使用可能な装飾品がありません
lobby/bag|1|0,倉庫,倉庫
lobby/change_nickname_confirm|0|2,本当によろしいですか？,本当によろしいですか？
lobby/change_nickname_confirm|0|4|0,はい,はい
lobby/change_nickname_confirm|0|5|0,いいえ,いいえ
lobby/chang_nickname|0|2,名前変更,名前変更
lobby/chang_nickname|0|3|1,プレイヤー名（1-7文字）,プレイヤー名（1-7文字）
lobby/chang_nickname|0|3|4,使用不可,使用不可
lobby/chang_nickname|0|3|6|0,必要,必要
lobby/chang_nickname|0|3|7,Cannot contain empty spaces and special characters,Cannot contain empty spaces and special characters
lobby/chang_nickname|0|4|0,30日に一回のみ変更可能,30日に一回のみ変更可能
lobby/chang_nickname|0|4|1,残り,残り
lobby/chang_nickname|0|4|3,日,日
lobby/checkhuiyu|0|2,輝石詳細,輝石詳細
lobby/checkhuiyu|0|3,有償:,有償:
lobby/checkhuiyu|0|5,無償:,無償:
lobby/checkhuiyu|0|7,合計:,合計:
lobby/checkhuiyu|0|10|0,はい,はい
lobby/checkhuiyu|0|11|0,購入,購入
lobby/checkpifuquan|0|2,着せ替え券詳細,着せ替え券詳細
